icd |10hcchccesrd
I70231 I70232 I70233 I70234 I70235 I70238 I70239 I70241 I70242 I70243 I70244 I70245 I70248 I70249 I7025 I70331 I70332 I70333 I70334 I70335 I70338 I70339 I70341 I70342 I70343 I70344 I70345 I70348 I70349 I7035 I70431 I70432 I70433 I70434 I70435 I70438 I70439 I70441 I70442 I70443 I70444 I70445 I70448 I70449 I7045 I70531 I70532 I70533 I70534 I70535 I70538 I70539 I70541 I70542 I70543 I70544 I70545 I70548 I70549 I7055 I70631 I70632 I70633 I70634 I70635 I70638 I70639 I70641 I70642 I70643 I70644 I70645 I70648 I70649 I7065 I70731 I70732 I70733 I70734 I70735 I70738 I70739 I70741 I70742 I70743 I70744 I70745 I70748 I70749 I7075 L97101 L97102 L97103 L97104 L97109 L97111 L97112 L97113 L97114 L97119 L97121 L97122 L97123 L97124 L97129 L97201 L97202 L97203 L97204 L97209 L97211 L97212 L97213 L97214 L97219 L97221 L97222 L97223 L97224 L97229 L97301 L97302 L97303 L97304 L97309 L97311 L97312 L97313 L97314 L97319 L97321 L97322 L97323 L97324 L97329 L97401 L97402 L97403 L97404 L97409 L97411 L97412 L97413 L97414 L97419 L97421 L97422 L97423 L97424 L97429 L97501 L97502 L97503 L97504 L97509 L97511 L97512 L97513 L97514 L97519 L97521 L97522 L97523 L97524 L97529 L97801 L97802 L97803 L97804 L97809 L97811 L97812 L97813 L97814 L97819 L97821 L97822 L97823 L97824 L97829 L97901 L97902 L97903 L97904 L97909 L97911 L97912 L97913 L97914 L97919 L97921 L97922 L97923 L97924 L97929 L98411 L98412 L98413 L98414 L98419 L98421 L98422 L98423 L98424 L98429 L98491 L98492 L98493 L98494 L98499 |10hcc161:Chronic Ulcer of Skin, Except Pressure
I8500 I8501 I8510 I8511 K7041 K7111 K7201 K7210 K7211 K7290 K7291 K766 K767 K7681 |10hcc27:End-Stage Liver Disease
J410 J411 J418 J42 J430 J431 J432 J438 J439 J440 J441 J449 J982 J983 |10hcc111:Chronic Obstructive Pulmonary Disease
J4520 J4521 J4522 J4530 J4531 J4532 J4540 J4541 J4542 J4550 J4551 J4552 J45901 J45902 J45909 J45990 J45991 J45998 |10hccrx226
J9500 J9501 J9502 J9503 J9504 J9509 J95850 J95859 Z430 Z930 Z9911 Z9912 |10hcc82:Respirator Dependence/Tracheostomy Status
K200 K208 K209 K210 K219 K220 K222 K223 K224 K225 K2270 K22710 K22711 K22719 K228 K229 K23 |10hccrx68
K5000 K50011 K50012 K50013 K50014 K50018 K50019 K5010 K50111 K50112 K50113 K50114 K50118 K50119 K5080 K50811 K50812 K50813 K50814 K50818 K50819 K5090 K50911 K50912 K50913 K50914 K50918 K50919 K5100 K51011 K51012 K51013 K51014 K51018 K51019 K5120 K51211 K51212 K51213 K51214 K51218 K51219 K5130 K51311 K51312 K51313 K51314 K51318 K51319 K5140 K51411 K51412 K51413 K51414 K51418 K51419 K5150 K51511 K51512 K51513 K51514 K51518 K51519 K5180 K51811 K51812 K51813 K51814 K51818 K51819 K5190 K51911 K51912 K51913 K51914 K51918 K51919 |10hcc35:Inflammatory Bowel Disease
K7030 K7031 K7040 K7041 K709 K743 K744 K745 K7460 K7469 |10hcc28:Cirrhosis of Liver
K860 K861 |10hcc34:Chronic Pancreatitis
K91850 K91858 K9400 K9401 K9402 K9403 K9409 K9410 K9411 K9412 K9413 K9419 K9420 K9421 K9422 K9423 K9429 K9430 K9431 K9432 K9433 K9439 Z431 Z432 Z433 Z434 Z435 Z436 Z438 Z439 Z931 Z932 Z933 Z934 Z9350 Z9351 Z9352 Z9359 Z936 Z938 Z939 |10hcc188:Artificial Openings for Feeding or Elimination
L100 L101 L102 L103 L104 L105 L1081 L1089 L109 |10hccrx314
L1230 L1231 L1235 L511 L512 L513 T3111 T3121 T3122 T3131 T3132 T3133 T3141 T3142 T3143 T3144 T3151 T3152 T3153 T3154 T3155 T3161 T3162 T3163 T3164 T3165 T3166 T3171 T3172 T3173 T3174 T3175 T3176 T3177 T3181 T3182 T3183 T3184 T3185 T3186 T3187 T3188 T3191 T3192 T3193 T3194 T3195 T3196 T3197 T3198 T3199 T3211 T3221 T3222 T3231 T3232 T3233 T3241 T3242 T3243 T3244 T3251 T3252 T3253 T3254 T3255 T3261 T3262 T3263 T3264 T3265 T3266 T3271 T3272 T3273 T3274 T3275 T3276 T3277 T3281 T3282 T3283 T3284 T3285 T3286 T3287 T3288 T3291 T3292 T3293 T3294 T3295 T3296 T3297 T3298 T3299 |10hcc162
L400 L401 L402 L403 L404 L408 L409 L410 L411 L413 L414 L415 L418 L419 L945 |10hccrx316
L4050 L4051 L4052 L4053 L4054 L4059 M0230 M02311 M02312 M02319 M02321 M02322 M02329 M02331 M02332 M02339 M02341 M02342 M02349 M02351 M02352 M02359 M02361 M02362 M02369 M02371 M02372 M02379 M0238 M0239 M0500 M05011 M05012 M05019 M05021 M05022 M05029 M05031 M05032 M05039 M05041 M05042 M05049 M05051 M05052 M05059 M05061 M05062 M05069 M05071 M05072 M05079 M0509 M0510 M05111 M05112 M05119 M05121 M05122 M05129 M05131 M05132 M05139 M05141 M05142 M05149 M05151 M05152 M05159 M05161 M05162 M05169 M05171 M05172 M05179 M0519 M0520 M05211 M05212 M05219 M05221 M05222 M05229 M05231 M05232 M05239 M05241 M05242 M05249 M05251 M05252 M05259 M05261 M05262 M05269 M05271 M05272 M05279 M0529 M0530 M05311 M05312 M05319 M05321 M05322 M05329 M05331 M05332 M05339 M05341 M05342 M05349 M05351 M05352 M05359 M05361 M05362 M05369 M05371 M05372 M05379 M0539 M0540 M05411 M05412 M05419 M05421 M05422 M05429 M05431 M05432 M05439 M05441 M05442 M05449 M05451 M05452 M05459 M05461 M05462 M05469 M05471 M05472 M05479 M0549 M0550 M05511 M05512 M05519 M05521 M05522 M05529 M05531 M05532 M05539 M05541 M05542 M05549 M05551 M05552 M05559 M05561 M05562 M05569 M05571 M05572 M05579 M0559 M0560 M05611 M05612 M05619 M05621 M05622 M05629 M05631 M05632 M05639 M05641 M05642 M05649 M05651 M05652 M05659 M05661 M05662 M05669 M05671 M05672 M05679 M0569 M0570 M05711 M05712 M05719 M05721 M05722 M05729 M05731 M05732 M05739 M05741 M05742 M05749 M05751 M05752 M05759 M05761 M05762 M05769 M05771 M05772 M05779 M0579 M0580 M05811 M05812 M05819 M05821 M05822 M05829 M05831 M05832 M05839 M05841 M05842 M05849 M05851 M05852 M05859 M05861 M05862 M05869 M05871 M05872 M05879 M0589 M059 M0600 M06011 M06012 M06019 M06021 M06022 M06029 M06031 M06032 M06039 M06041 M06042 M06049 M06051 M06052 M06059 M06061 M06062 M06069 M06071 M06072 M06079 M0608 M0609 M061 M0620 M06211 M06212 M06219 M06221 M06222 M06229 M06231 M06232 M06239 M06241 M06242 M06249 M06251 M06252 M06259 M06261 M06262 M06269 M06271 M06272 M06279 M0628 M0629 M0630 M06311 M06312 M06319 M06321 M06322 M06329 M06331 M06332 M06339 M06341 M06342 M06349 M06351 M06352 M06359 M06361 M06362 M06369 M06371 M06372 M06379 M0638 M0639 M064 M0680 M06811 M06812 M06819 M06821 M06822 M06829 M06831 M06832 M06839 M06841 M06842 M06849 M06851 M06852 M06859 M06861 M06862 M06869 M06871 M06872 M06879 M0688 M0689 M069 M0800 M08011 M08012 M08019 M08021 M08022 M08029 M08031 M08032 M08039 M08041 M08042 M08049 M08051 M08052 M08059 M08061 M08062 M08069 M08071 M08072 M08079 M0808 M0809 M081 M0820 M08211 M08212 M08219 M08221 M08222 M08229 M08231 M08232 M08239 M08241 M08242 M08249 M08251 M08252 M08259 M08261 M08262 M08269 M08271 M08272 M08279 M0828 M0829 M083 M0840 M08411 M08412 M08419 M08421 M08422 M08429 M08431 M08432 M08439 M08441 M08442 M08449 M08451 M08452 M08459 M08461 M08462 M08469 M08471 M08472 M08479 M0848 M0880 M08811 M08812 M08819 M08821 M08822 M08829 M08831 M08832 M08839 M08841 M08842 M08849 M08851 M08852 M08859 M08861 M08862 M08869 M08871 M08872 M08879 M0888 M0889 M0890 M08911 M08912 M08919 M08921 M08922 M08929 M08931 M08932 M08939 M08941 M08942 M08949 M08951 M08952 M08959 M08961 M08962 M08969 M08971 M08972 M08979 M0898 M0899 M1200 M12011 M12012 M12019 M12021 M12022 M12029 M12031 M12032 M12039 M12041 M12042 M12049 M12051 M12052 M12059 M12061 M12062 M12069 M12071 M12072 M12079 M1208 M1209 M300 M301 M302 M303 M308 M310 M311 M312 M3130 M3131 M314 M315 M316 M317 M320 M3210 M3211 M3212 M3213 M3214 M3215 M3219 M328 M329 M3300 M3301 M3302 M3309 M3310 M3311 M3312 M3319 M3320 M3321 M3322 M3329 M3390 M3391 M3392 M3399 M340 M341 M342 M3481 M3482 M3483 M3489 M349 M3500 M3501 M3502 M3503 M3504 M3509 M351 M352 M353 M355 M358 M359 M360 M368 M450 M451 M452 M453 M454 M455 M456 M457 M458 M459 M4600 M4601 M4602 M4603 M4604 M4605 M4606 M4607 M4608 M4609 M461 M4650 M4651 M4652 M4653 M4654 M4655 M4656 M4657 M4658 M4659 M4680 M4681 M4682 M4683 M4684 M4685 M4686 M4687 M4688 M4689 M4690 M4691 M4692 M4693 M4694 M4695 M4696 M4697 M4698 M4699 M488X1 M488X2 M488X3 M488X4 M488X5 M488X6 M488X7 M488X8 M488X9 M4980 M4981 M4982 M4983 M4984 M4985 M4986 M4987 M4988 M4989 |10hcc40:Rheumatoid Arthritis and Inflammatory Connective Tissue Disease
L89000 L89003 L89010 L89013 L89020 L89023 L89100 L89103 L89110 L89113 L89120 L89123 L89130 L89133 L89140 L89143 L89150 L89153 L89200 L89203 L89210 L89213 L89220 L89223 L89300 L89303 L89310 L89313 L89320 L89323 L8943 L8945 L89500 L89503 L89510 L89513 L89520 L89523 L89600 L89603 L89610 L89613 L89620 L89623 L89810 L89813 L89890 L89893 L8993 L8995 |10hcc158:Pressure Ulcer of Skin with Full Thickness Skin Loss
L89000 L89001 L89002 L89003 L89004 L89009 L89010 L89011 L89012 L89013 L89014 L89019 L89020 L89021 L89022 L89023 L89024 L89029 L89100 L89101 L89102 L89103 L89104 L89109 L89110 L89111 L89112 L89113 L89114 L89119 L89120 L89121 L89122 L89123 L89124 L89129 L89130 L89131 L89132 L89133 L89134 L89139 L89140 L89141 L89142 L89143 L89144 L89149 L89150 L89151 L89152 L89153 L89154 L89159 L89200 L89201 L89202 L89203 L89204 L89209 L89210 L89211 L89212 L89213 L89214 L89219 L89220 L89221 L89222 L89223 L89224 L89229 L89300 L89301 L89302 L89303 L89304 L89309 L89310 L89311 L89312 L89313 L89314 L89319 L89320 L89321 L89322 L89323 L89324 L89329 L8940 L8941 L8942 L8943 L8944 L8945 L89500 L89501 L89502 L89503 L89504 L89509 L89510 L89511 L89512 L89513 L89514 L89519 L89520 L89521 L89522 L89523 L89524 L89529 L89600 L89601 L89602 L89603 L89604 L89609 L89610 L89611 L89612 L89613 L89614 L89619 L89620 L89621 L89622 L89623 L89624 L89629 L89810 L89811 L89812 L89813 L89814 L89819 L89890 L89891 L89892 L89893 L89894 L89899 L8990 L8991 L8992 L8993 L8994 L8995 |10hcc160
L89002 L89012 L89022 L89102 L89112 L89122 L89132 L89142 L89152 L89202 L89212 L89222 L89302 L89312 L89322 L8942 L89502 L89512 L89522 L89602 L89612 L89622 L89812 L89892 L8992 |10hcc159
L89004 L89014 L89024 L89104 L89114 L89124 L89134 L89144 L89154 L89204 L89214 L89224 L89304 L89314 L89324 L8944 L89504 L89514 L89524 L89604 L89614 L89624 L89814 L89894 L8994 |10hcc157:Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone
M4850XA M4851XA M4852XA M4853XA M4854XA M4855XA M4856XA M4857XA M4858XA M8008XA M8088XA S12000A S12000B S12001A S12001B S1201XA S1201XB S1202XA S1202XB S12030A S12030B S12031A S12031B S12040A S12040B S12041A S12041B S12090A S12090B S12091A S12091B S12100A S12100B S12101A S12101B S12110A S12110B S12111A S12111B S12112A S12112B S12120A S12120B S12121A S12121B S12130A S12130B S12131A S12131B S1214XA S1214XB S12150A S12150B S12151A S12151B S12190A S12190B S12191A S12191B S12200A S12200B S12201A S12201B S12230A S12230B S12231A S12231B S1224XA S1224XB S12250A S12250B S12251A S12251B S12290A S12290B S12291A S12291B S12300A S12300B S12301A S12301B S12330A S12330B S12331A S12331B S1234XA S1234XB S12350A S12350B S12351A S12351B S12390A S12390B S12391A S12391B S12400A S12400B S12401A S12401B S12430A S12430B S12431A S12431B S1244XA S1244XB S12450A S12450B S12451A S12451B S12490A S12490B S12491A S12491B S12500A S12500B S12501A S12501B S12530A S12530B S12531A S12531B S1254XA S1254XB S12550A S12550B S12551A S12551B S12590A S12590B S12591A S12591B S12600A S12600B S12601A S12601B S12630A S12630B S12631A S12631B S1264XA S1264XB S12650A S12650B S12651A S12651B S12690A S12690B S12691A S12691B S128XXA S129XXA S22000A S22000B S22001A S22001B S22002A S22002B S22008A S22008B S22009A S22009B S22010A S22010B S22011A S22011B S22012A S22012B S22018A S22018B S22019A S22019B S22020A S22020B S22021A S22021B S22022A S22022B S22028A S22028B S22029A S22029B S22030A S22030B S22031A S22031B S22032A S22032B S22038A S22038B S22039A S22039B S22040A S22040B S22041A S22041B S22042A S22042B S22048A S22048B S22049A S22049B S22050A S22050B S22051A S22051B S22052A S22052B S22058A S22058B S22059A S22059B S22060A S22060B S22061A S22061B S22062A S22062B S22068A S22068B S22069A S22069B S22070A S22070B S22071A S22071B S22072A S22072B S22078A S22078B S22079A S22079B S22080A S22080B S22081A S22081B S22082A S22082B S22088A S22088B S22089A S22089B S32000A S32000B S32001A S32001B S32002A S32002B S32008A S32008B S32009A S32009B S32010A S32010B S32011A S32011B S32012A S32012B S32018A S32018B S32019A S32019B S32020A S32020B S32021A S32021B S32022A S32022B S32028A S32028B S32029A S32029B S32030A S32030B S32031A S32031B S32032A S32032B S32038A S32038B S32039A S32039B S32040A S32040B S32041A S32041B S32042A S32042B S32048A S32048B S32049A S32049B S32050A S32050B S32051A S32051B S32052A S32052B S32058A S32058B S32059A S32059B S3210XA S3210XB S32110A S32110B S32111A S32111B S32112A S32112B S32119A S32119B S32120A S32120B S32121A S32121B S32122A S32122B S32129A S32129B S32130A S32130B S32131A S32131B S32132A S32132B S32139A S32139B S3214XA S3214XB S3215XA S3215XB S3216XA S3216XB S3217XA S3217XB S3219XA S3219XB S322XXA S322XXB |10hcc169:Vertebral Fractures without Spinal Cord Injury
M80051A M80052A M80059A M80851A M80852A M80859A M84451A M84452A M84453A M84459A M84551A M84552A M84553A M84559A M84651A M84652A M84653A M84659A S32301A S32301B S32302A S32302B S32309A S32309B S32311A S32311B S32312A S32312B S32313A S32313B S32314A S32314B S32315A S32315B S32316A S32316B S32391A S32391B S32392A S32392B S32399A S32399B S32401A S32401B S32402A S32402B S32409A S32409B S32411A S32411B S32412A S32412B S32413A S32413B S32414A S32414B S32415A S32415B S32416A S32416B S32421A S32421B S32422A S32422B S32423A S32423B S32424A S32424B S32425A S32425B S32426A S32426B S32431A S32431B S32432A S32432B S32433A S32433B S32434A S32434B S32435A S32435B S32436A S32436B S32441A S32441B S32442A S32442B S32443A S32443B S32444A S32444B S32445A S32445B S32446A S32446B S32451A S32451B S32452A S32452B S32453A S32453B S32454A S32454B S32455A S32455B S32456A S32456B S32461A S32461B S32462A S32462B S32463A S32463B S32464A S32464B S32465A S32465B S32466A S32466B S32471A S32471B S32472A S32472B S32473A S32473B S32474A S32474B S32475A S32475B S32476A S32476B S32481A S32481B S32482A S32482B S32483A S32483B S32484A S32484B S32485A S32485B S32486A S32486B S32491A S32491B S32492A S32492B S32499A S32499B S32501A S32501B S32502A S32502B S32509A S32509B S32511A S32511B S32512A S32512B S32519A S32519B S32591A S32591B S32592A S32592B S32599A S32599B S32601A S32601B S32602A S32602B S32609A S32609B S32611A S32611B S32612A S32612B S32613A S32613B S32614A S32614B S32615A S32615B S32616A S32616B S32691A S32691B S32692A S32692B S32699A S32699B S32810A S32810B S32811A S32811B S3282XA S3282XB S3289XA S3289XB S329XXA S329XXB S72001A S72001B S72001C S72002A S72002B S72002C S72009A S72009B S72009C S72011A S72011B S72011C S72012A S72012B S72012C S72019A S72019B S72019C S72021A S72021B S72021C S72022A S72022B S72022C S72023A S72023B S72023C S72024A S72024B S72024C S72025A S72025B S72025C S72026A S72026B S72026C S72031A S72031B S72031C S72032A S72032B S72032C S72033A S72033B S72033C S72034A S72034B S72034C S72035A S72035B S72035C S72036A S72036B S72036C S72041A S72041B S72041C S72042A S72042B S72042C S72043A S72043B S72043C S72044A S72044B S72044C S72045A S72045B S72045C S72046A S72046B S72046C S72051A S72051B S72051C S72052A S72052B S72052C S72059A S72059B S72059C S72061A S72061B S72061C S72062A S72062B S72062C S72063A S72063B S72063C S72064A S72064B S72064C S72065A S72065B S72065C S72066A S72066B S72066C S72091A S72091B S72091C S72092A S72092B S72092C S72099A S72099B S72099C S72101A S72101B S72101C S72102A S72102B S72102C S72109A S72109B S72109C S72111A S72111B S72111C S72112A S72112B S72112C S72113A S72113B S72113C S72114A S72114B S72114C S72115A S72115B S72115C S72116A S72116B S72116C S72121A S72121B S72121C S72122A S72122B S72122C S72123A S72123B S72123C S72124A S72124B S72124C S72125A S72125B S72125C S72126A S72126B S72126C S72131A S72131B S72131C S72132A S72132B S72132C S72133A S72133B S72133C S72134A S72134B S72134C S72135A S72135B S72135C S72136A S72136B S72136C S72141A S72141B S72141C S72142A S72142B S72142C S72143A S72143B S72143C S72144A S72144B S72144C S72145A S72145B S72145C S72146A S72146B S72146C S7221XA S7221XB S7221XC S7222XA S7222XB S7222XC S7223XA S7223XB S7223XC S7224XA S7224XB S7224XC S7225XA S7225XB S7225XC S7226XA S7226XB S7226XC S72301A S72301B S72301C S72302A S72302B S72302C S72309A S72309B S72309C S72321A S72321B S72321C S72322A S72322B S72322C S72323A S72323B S72323C S72324A S72324B S72324C S72325A S72325B S72325C S72326A S72326B S72326C S72331A S72331B S72331C S72332A S72332B S72332C S72333A S72333B S72333C S72334A S72334B S72334C S72335A S72335B S72335C S72336A S72336B S72336C S72341A S72341B S72341C S72342A S72342B S72342C S72343A S72343B S72343C S72344A S72344B S72344C S72345A S72345B S72345C S72346A S72346B S72346C S72351A S72351B S72351C S72352A S72352B S72352C S72353A S72353B S72353C S72354A S72354B S72354C S72355A S72355B S72355C S72356A S72356B S72356C S72361A S72361B S72361C S72362A S72362B S72362C S72363A S72363B S72363C S72364A S72364B S72364C S72365A S72365B S72365C S72366A S72366B S72366C S72391A S72391B S72391C S72392A S72392B S72392C S72399A S72399B S72399C S72401A S72401B S72401C S72402A S72402B S72402C S72409A S72409B S72409C S72411A S72411B S72411C S72412A S72412B S72412C S72413A S72413B S72413C S72414A S72414B S72414C S72415A S72415B S72415C S72416A S72416B S72416C S72421A S72421B S72421C S72422A S72422B S72422C S72423A S72423B S72423C S72424A S72424B S72424C S72425A S72425B S72425C S72426A S72426B S72426C S72431A S72431B S72431C S72432A S72432B S72432C S72433A S72433B S72433C S72434A S72434B S72434C S72435A S72435B S72435C S72436A S72436B S72436C S72441A S72441B S72441C S72442A S72442B S72442C S72443A S72443B S72443C S72444A S72444B S72444C S72445A S72445B S72445C S72446A S72446B S72446C S72451A S72451B S72451C S72452A S72452B S72452C S72453A S72453B S72453C S72454A S72454B S72454C S72455A S72455B S72455C S72456A S72456B S72456C S72461A S72461B S72461C S72462A S72462B S72462C S72463A S72463B S72463C S72464A S72464B S72464C S72465A S72465B S72465C S72466A S72466B S72466C S72471A S72472A S72479A S72491A S72491B S72491C S72492A S72492B S72492C S72499A S72499B S72499C S728X1A S728X1B S728X1C S728X2A S728X2B S728X2C S728X9A S728X9B S728X9C S7290XA S7290XB S7290XC S7291XA S7291XB S7291XC S7292XA S7292XB S7292XC S73001A S73002A S73003A S73004A S73005A S73006A S73011A S73012A S73013A S73014A S73015A S73016A S73021A S73022A S73023A S73024A S73025A S73026A S73031A S73032A S73033A S73034A S73035A S73036A S73041A S73042A S73043A S73044A S73045A S73046A S79001A S79002A S79009A S79011A S79012A S79019A S79091A S79092A S79099A S79101A S79102A S79109A S79111A S79112A S79119A S79121A S79122A S79129A S79131A S79132A S79139A S79141A S79142A S79149A S79191A S79192A S79199A |10hcc170:Hip Fracture/Dislocation
M96621 M96622 M96629 M96631 M96632 M96639 M9665 M96661 M96662 M96669 M96671 M96672 M96679 M9669 N99510 N99511 N99512 N99518 N99520 N99521 N99522 N99528 N99530 N99531 N99532 N99538 T82310A T82311A T82312A T82318A T82319A T82320A T82321A T82322A T82328A T82329A T82330A T82331A T82332A T82338A T82339A T82390A T82391A T82392A T82398A T82399A T82510A T82511A T82513A T82514A T82515A T82518A T82520A T82521A T82523A T82524A T82525A T82528A T82530A T82531A T82533A T82534A T82535A T82538A T82590A T82591A T82593A T82594A T82595A T82598A T826XXA T827XXA T82818A T82828A T82838A T82848A T82858A T82868A T82898A T83010A T83018A T83020A T83028A T83030A T83038A T83090A T83098A T83110A T83111A T83112A T83118A T83120A T83121A T83122A T83128A T83190A T83191A T83192A T83198A T8321XA T8322XA T8323XA T8329XA T83410A T83418A T83420A T83428A T83490A T83498A T8351XA T8359XA T836XXA T83711A T83718A T83728A T8381XA T8382XA T8383XA T8384XA T8385XA T8386XA T8389XA T839XXA T84010A T84011A T84012A T84013A T84018A T84019A T84020A T84021A T84022A T84023A T84028A T84029A T84030A T84031A T84032A T84033A T84038A T84039A T84040A T84041A T84042A T84043A T84048A T84049A T84050A T84051A T84052A T84053A T84058A T84059A T84060A T84061A T84062A T84063A T84068A T84069A T84090A T84091A T84092A T84093A T84098A T84099A T84110A T84111A T84112A T84113A T84114A T84115A T84116A T84117A T84119A T84120A T84121A T84122A T84123A T84124A T84125A T84126A T84127A T84129A T84190A T84191A T84192A T84193A T84194A T84195A T84196A T84197A T84199A T84210A T84213A T84216A T84218A T84220A T84223A T84226A T84228A T84290A T84293A T84296A T84298A T84310A T84318A T84320A T84328A T84390A T84398A T84410A T84418A T84420A T84428A T84490A T84498A T8450XA T8451XA T8452XA T8453XA T8454XA T8459XA T8460XA T84610A T84611A T84612A T84613A T84614A T84615A T84619A T84620A T84621A T84622A T84623A T84624A T84625A T84629A T8463XA T8469XA T847XXA T8481XA T8482XA T8483XA T8484XA T8485XA T8486XA T8489XA T849XXA T8501XA T8502XA T8503XA T8509XA T85110A T85111A T85112A T85118A T85120A T85121A T85122A T85128A T85190A T85191A T85192A T85199A T8572XA T8579XA T86842 |10hcc176:Complications of Specified Implanted Device or Graft
N170 N171 N172 N178 N179 |10hcc135:Acute Renal Failure
N183 |10hcc138
N184 |10hcc137:Chronic Kidney Disease, Severe (Stage 4)
N19 |10hcc140
Note: |10hccrx
Q796 Q8740 Q87410 Q87418 Q8742 Q8743 |10hccrx84
R092 |10hcc83:Respiratory Arrest
S020XXA S020XXB S020XXS S0210XA S0210XB S0210XS S02110A S02110B S02110S S02111A S02111B S02111S S02112A S02112B S02112S S02113A S02113B S02113S S02118A S02118B S02118S S02119A S02119B S02119S S0219XA S0219XB S0219XS S023XXA S023XXB S023XXS S02400A S02400B S02400S S02401A S02401B S02401S S02402A S02402B S02402S S02411A S02411B S02411S S02412A S02412B S02412S S02413A S02413B S02413S S0242XA S0242XB S0242XS S02600A S02600B S02600S S02609A S02609B S02609S S0261XA S0261XB S0261XS S0262XA S0262XB S0262XS S0263XA S0263XB S0263XS S0264XA S0264XB S0264XS S0265XA S0265XB S0265XS S0266XA S0266XB S0266XS S0267XA S0267XB S0267XS S0269XA S0269XB S0269XS S028XXA S028XXB S028XXS S0291XA S0291XB S0291XS S0292XA S0292XB S0292XS S060X0S S060X1S S060X2S S060X3A S060X3S S060X4A S060X4S S060X5A S060X5S S060X6A S060X6S S060X9S S061X0A S061X0S S061X1A S061X1S S061X2A S061X2S S061X3S S061X4S S061X5S S061X6S S061X9A S061X9S S062X0A S062X0S S062X1A S062X1S S062X2A S062X2S S062X3S S062X4S S062X5S S062X6S S062X9A S062X9S S06300A S06300S S06301A S06301S S06302A S06302S S06303S S06304S S06305S S06306S S06309A S06309S S06310A S06310S S06311A S06311S S06312A S06312S S06313S S06314S S06315S S06316S S06319A S06319S S06320A S06320S S06321A S06321S S06322A S06322S S06323S S06324S S06325S S06326S S06329A S06329S S06330A S06330S S06331A S06331S S06332A S06332S S06333S S06334S S06335S S06336S S06339A S06339S S06340A S06340S S06341A S06341S S06342A S06342S S06343S S06344S S06345S S06346S S06349A S06349S S06350A S06350S S06351A S06351S S06352A S06352S S06353S S06354S S06355S S06356S S06359A S06359S S06360A S06360S S06361A S06361S S06362A S06362S S06363S S06364S S06365S S06366S S06369A S06369S S06370A S06370S S06371A S06371S S06372A S06372S S06373S S06374S S06375S S06376S S06379A S06379S S06380A S06380S S06381A S06381S S06382A S06382S S06383S S06384S S06385S S06386S S06389A S06389S S064X0A S064X0S S064X1A S064X1S S064X2A S064X2S S064X3S S064X4S S064X5S S064X6S S064X9A S064X9S S065X0A S065X0S S065X1A S065X1S S065X2A S065X2S S065X3S S065X4S S065X5S S065X6S S065X9A S065X9S S066X0A S066X0S S066X1A S066X1S S066X2A S066X2S S066X3S S066X4S S066X5S S066X6S S066X9A S066X9S S06810A S06810S S06811A S06811S S06812A S06812S S06813S S06814S S06815S S06816S S06819A S06819S S06820A S06820S S06821A S06821S S06822A S06822S S06823S S06824S S06825S S06826S S06829A S06829S S06890A S06890S S06891A S06891S S06892A S06892S S06893S S06894S S06895S S06896S S06899A S06899S S069X0A S069X0S S069X1A S069X1S S069X2A S069X2S S069X3S S069X4S S069X5S S069X6S S069X9A S069X9S |10hcc167:Major Head Injury
S061X3A S061X4A S061X5A S061X6A S062X3A S062X4A S062X5A S062X6A S06303A S06304A S06305A S06306A S06313A S06314A S06315A S06316A S06323A S06324A S06325A S06326A S06333A S06334A S06335A S06336A S06343A S06344A S06345A S06346A S06353A S06354A S06355A S06356A S06363A S06364A S06365A S06366A S06373A S06374A S06375A S06376A S06383A S06384A S06385A S06386A S064X3A S064X4A S064X5A S064X6A S065X3A S065X4A S065X5A S065X6A S066X3A S066X4A S066X5A S066X6A S06813A S06814A S06815A S06816A S06823A S06824A S06825A S06826A S06893A S06894A S06895A S06896A S069X3A S069X4A S069X5A S069X6A |10hcc166
S48011A S48012A S48019A S48021A S48022A S48029A S48111A S48112A S48119A S48121A S48122A S48129A S48911A S48912A S48919A S48921A S48922A S48929A S58011A S58012A S58019A S58021A S58022A S58029A S58111A S58112A S58119A S58121A S58122A S58129A S58911A S58912A S58919A S58921A S58922A S58929A S68411A S68412A S68419A S68421A S68422A S68429A S68711A S68712A S68719A S68721A S68722A S68729A S78011A S78012A S78019A S78021A S78022A S78029A S78111A S78112A S78119A S78121A S78122A S78129A S78911A S78912A S78919A S78921A S78922A S78929A S88011A S88012A S88019A S88021A S88022A S88029A S88111A S88112A S88119A S88121A S88122A S88129A S88911A S88912A S88919A S88921A S88922A S88929A S98011A S98012A S98019A S98021A S98022A S98029A S98111A S98112A S98119A S98121A S98122A S98129A S98131A S98132A S98139A S98141A S98142A S98149A S98211A S98212A S98219A S98221A S98222A S98229A S98311A S98312A S98319A S98321A S98322A S98329A S98911A S98912A S98919A S98921A S98922A S98929A T790XXA T791XXA T792XXA T794XXA T795XXA T796XXA T797XXA T798XXA T799XXA T79A0XA T79A11A T79A12A T79A19A T79A21A T79A22A T79A29A T79A3XA T79A9XA T870X1 T870X2 T870X9 T871X1 T871X2 T871X9 T872 |10hcc173:Traumatic Amputations and Complications
